"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4"
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,6,"AFG","Afghanistan","No",2018,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,6,"AFG","Afghanistan","No",2019,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,6,"AFG","Afghanistan","No",2020,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,6,"AFG","Afghanistan","No",2021,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,6,"AFG","Afghanistan","No",2024,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,7,"ZAF","South Africa","No",2018,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,7,"ZAF","South Africa","No",2021,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,7,"ZAF","South Africa","No",2022,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,7,"ZAF","South Africa","No",2023,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
24763,"tpIoT_Regulations_Charging","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,7,"ZAF","South Africa","No",2024,"","","Is there a billing framework to support charging mechanisms for IoT services and applications?",,,,
