"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4","dataValue 5","dataValue 6"
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,6,"AFG","Afghanistan","No, there are no targeted incentives",2018,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,6,"AFG","Afghanistan","No, there are no targeted incentives",2019,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,6,"AFG","Afghanistan","Yes, for all operators (including virtual operators)",2020,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,6,"AFG","Afghanistan","Yes, for all operators (including virtual operators)",2021,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,6,"AFG","Afghanistan","Yes, for facility/infrastructure operators",2022,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,7,"ZAF","South Africa","No, there are no targeted incentives",2018,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,7,"ZAF","South Africa","No, there are no targeted incentives",2020,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,7,"ZAF","South Africa","No, there are no targeted incentives",2021,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,7,"ZAF","South Africa","No, there are no targeted incentives",2022,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,8,"AGO","Angola","Yes, for all operators (including virtual operators)",2020,"","","",,,,,,
24718,"trRegulatoryIncentivesOperators","Regulatory incentives for telecom/ICT operators",,,8,"AGO","Angola","Yes, for all operators (including virtual operators)",2021,"","","",,,,,,
