"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription","dataValue 1","dataValue 2","dataValue 3","dataValue 4"
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,8,"AGO","Angola","Bottom-up (BU)",2020,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,8,"AGO","Angola","Other",2021,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,10,"ALB","Albania","Bottom-up (BU)",2019,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,11,"DZA","Algeria","Other",2022,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,11,"DZA","Algeria","Other",2023,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,11,"DZA","Algeria","Other",2024,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,14,"AND","Andorra","Top-down (TD)",2021,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,14,"AND","Andorra","Top-down (TD)",2022,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,14,"AND","Andorra","Top-down (TD)",2023,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,14,"AND","Andorra","Top-down (TD)",2024,"","","Advanced retail mobile",,,,
31662,"tpCost_Modelling_Approch_Adv_R_Mobile","Advanced retail mobile services",,,17,"ARM","Armenia","Other",2019,"","","Advanced retail mobile",,,,
