token,weight
international-bandwidth-usage_1773179793827,0.017406411953339303
individuals-using-the-internet_1773180094434,0.017159502352745153
mobile-broadband-internet-traffic-within-the-country_1773180123014,0.017113414995088977
individuals-using-a-computer_1773180102892,0.01687797996107712
mobile-cellular-dropped-call-ratio_1773180188583,0.016811705206404418
fixed-broadband-subscriptions_1773179782231,0.016736022687868946
m-2-m-mobile-network-subscriptions_1773179753090,0.01663249995854344
amount-of-spectrum-licensed-for-imt-systems-in-m-hz_1773181115528,0.016605733418236582
vo-ip-subscriptions_1773179737457,0.016545040407759278
households-with-a-tv_1773179695521,0.016540693332072646
average-download-throughput-for-fixed-broadband_1773180204009,0.016497759399562467
individuals-using-the-internet-from-any-location-by-frequency_1773180088274,0.016439421719796645
proportion-of-households-with-electricity_1773179702234,0.016398570842114442
average-upload-throughput-for-fixed-broadband_1773180214417,0.016352654077765382
fixed-broadband-internet-traffic_1773180135865,0.016342392373063012
packet-latency-for-fixed-broadband_1773180208675,0.01621840548454154
amount-of-spectrum-offered-for-imt-systems-in-m-hz_1773181112616,0.016119351852254556
active-mobile-broadband-subscriptions_1773179786826,0.016083243674478206
individuals-using-the-internet-by-location-of-use_1773180080601,0.01605949662008295
fault-resolution-period-for-fixed-broadband-service_1773180206789,0.0160584342017826
fixed-broadband-internet-5-gb_1773180292868,0.01602975993459849
fixed-telephone-subscriptions-that-are-residential_1773179743765,0.015951874703544724
households-with-access-to-internet-by-type-of-service_1773181509543,0.015918369654813254
households-with-access-to-internet-by-type-of-service_1773179727737,0.015918369654813254
lit-equipped-international-bandwidth-capacity_1773179797609,0.015670652754524953
individuals-with-ict-skills-information-and-data-literacy_1773179198395,0.015650641286398828
individuals-using-a-mobile-cellular-telephone_1773180108344,0.015642439015894714
individuals-not-using-the-internet-by-type-of-reason_1773180001246,0.015614891705970208
annual-foreign-investment-in-telecommunications_1773180929018,0.015592648672248893
number-of-individuals-who-did-not-purchase-goods-or-services-online-by-reason_1773179974771,0.015583130039877413
subscriptions-to-fixed-broadband-and-fixed-telephone-bundles_1773179760948,0.015580271078741529
households-with-multichannel-television-by-type_1773179698592,0.015538012762774988
households-with-a-computer_1773179715423,0.01549802304288591
domestic-mobile-telephone-traffic_1773180139921,0.015276206722727477
individuals-with-ict-skills-communication-and-collaboration_1773179107985,0.01527450424624754
average-download-throughput-for-mobile-broadband_1773180192101,0.015199149233402725
individuals-using-the-internet-by-type-of-portable-device-and-network-used-to-access-the-internet_1773180016827,0.015077159074526905
total-population_1773179221726,0.014858622371929498
service-activation-time-for-fixed-broadband-service_1773180211794,0.014423517677494333
individuals-using-a-computer-by-type-of-device_1773180097972,0.014218439764275588
mobile-cellular-numbers-ported_1773179758918,0.014086605191006735
fixed-to-mobile-telephone-traffic_1773180176790,0.014013390589140324
mobile-cellular-subscriptions_1773179746737,0.013960142161823012
mobile-cellular-subscriptions-prepaid_1773179756127,0.013959044294593612
domestic-fixed-to-fixed-telephone-traffic_1773180169808,0.013941652010415176
individuals-who-own-a-mobile-cellular-telephone_1773179708784,0.013879960009581815
