seriesName,series_code,units,first_year,last_year,n_years,last_value,has_2024
Urban,HHU781e_HHCUrbanUsers,%,2013,2024,374,15.610947465779663,True
Rural,HHU781e_HHCRuralUsers,%,2013,2024,374,10.501457597477115,True
25 to 74 years,HHU781e_HHC25to74,%,2013,2024,288,14.89465281704848,True
Female,HHU781e_HHCFemale,%,2013,2024,288,8.343046053332376,True
Male,HHU781e_HHCMale,%,2013,2024,288,15.861665610765977,True
15 to 24 years,HHU781e_HHC15to24,%,2013,2024,288,16.22183747640926,True
14 years and younger,HHU781e_HHCLess15,%,2013,2024,278,0.6199603749722846,True
75 years and older,HHU781e_HHCMore74,%,2013,2024,270,1.0825046075749292,True
International bandwidth usage,i4214,Mbit/s,2000,2023,80,32645.7864760791,False
Fixed-telephone subscriptions,i112,count,2000,2024,68,0.400913483740891,True
Full-time equivalent telecommunication employees ,i51,count,2000,2024,52,2494.30373523256,True
Mobile-cellular subscriptions,i271,count,2000,2024,50,108.077037369691,True
Revenue from all telecommunication services,i75$,USD,2000,2024,49,3966.19089215041,True
Annual investment in telecommunication services,i81$,USD,2000,2021,47,6.08559484829388,False
Fixed-broadband subscriptions,i4213tfbb,per 100 people,2007,2024,36,8.08931134401926,True
Active mobile-broadband subscriptions,i271mw,count,2009,2024,32,56.46505540798,True
SMS sent,i133sms,count,2009,2024,30,47.5012278185163,True
Fixed-telephone subscriptions that are residential ,i1111c,%,2009,2024,29,38.0,True
Total population,i61,,2000,2025,26,175686899.0,True
Individuals using the Internet,i99H,%,2000,2024,25,53.42171316,True
Fixed-broadband Internet 5GB,i154_FBB5$,% GNI per capita,2018,2025,24,8.71,True
Mobile-broadband Internet traffic (within the country),i136mwi,exabytes,2014,2024,22,147.956035833319,True
At least 2G,i271pop,%,2001,2024,22,99.72,True
Mobile-cellular subscriptions: Prepaid,i271p,count,2000,2024,22,181032245.0,True
Revenue from mobile networks,i741$,USD,2000,2024,21,2156010242.27316,True
Information on licensing agreements,trLicAgreement_AreMadePublic,,2003,2022,20,,False
International incoming and outgoing fixed-telephone traffic,i132mb,minutes,2000,2020,19,31023051.0,False
International outgoing fixed-telephone traffic,i132m,minutes,2000,2020,19,5023051.0,False
International incoming fixed-telephone traffic,i132mi,minutes,2000,2020,19,26000000.0,False
Households with a computer,xHH4_IDI,%,2002,2023,17,8.92380128164499,False
Responsibility for consumer education,trRARespForConEduc,,2003,2022,16,,False
Mobile-cellular unsuccessful call ratio,i146u,%,2009,2024,16,1.05,True
Mobile-cellular dropped call ratio,i146d,%,2009,2024,16,0.3,True
Regulatory framework for dispute resolution,trRegFrameForDisputes,,2003,2022,16,,False
Responsibility for providing comparable tariff information,trRARespForTarriffInfo,,2003,2022,16,,False
Responsibility for handling consumer complaints,trRARespForConCompl,,2003,2022,16,,False
Areas covered,trCybersecurity_Legislation_Area,,2012,2022,16,,False
Total international incoming telephone traffic,i132ti,minutes,2009,2023,15,5740043949.0,False
Number portability required from fixed operators,trNumberPortabilityFixed,,2005,2022,14,,False
Fixed-broadband Internet traffic,i135tfb,exabytes,2018,2024,14,1146.72364672365,True
Total international telephone traffic,i132tb,minutes,2009,2023,14,5791101364.0,False
Number portability required from mobile operators,trNumberPortabilityMobile,,2005,2022,14,,False
Total international outgoing telephone traffic,i132t,minutes,2009,2023,14,51057415.0,False
Autonomy in decision-making,trRAAuton,,2003,2018,13,,False
Annual foreign investment in telecommunications,i841f,LCU,2009,2024,13,7773093181290.0,True
At least 3G,i271G,%,2012,2024,13,99.72,True
Incoming international traffic to mobile network,i1335wm,minutes,2009,2021,13,8108747085.0,False
Outgoing mobile traffic to international,i1333wm,minutes,2009,2021,13,62994009.0,False
Domestic mobile-telephone traffic,i133wm,minutes,2009,2021,13,377887935131.0,False
Outgoing mobile traffic to fixed networks,i1332wmf,minutes,2009,2021,13,138089220.0,False
VoIP subscriptions,i112IP,count,2009,2024,13,122152.0,True
At least LTE/WiMAX,i271GA,%,2014,2024,11,99.64,True
Lit/equipped international bandwidth capacity,i4214l,Mbit/s,2014,2024,11,12236285.0,True
Fixed-broadband subscriptions for organizations,i4213tfb_o,count,2014,2024,11,3997188.0,True
M2M mobile-network subscriptions,i271m2m,count,2014,2024,10,572111.0,True
Domestic fixed-to-fixed telephone traffic,i131m,minutes,2012,2021,10,54090035.0,False
ICT consumer protection legislation,trTelecomConsumProtExists,,2003,2022,10,,False
Fixed-to-mobile telephone traffic,i1313wm,minutes,2012,2021,10,1106823369.0,False
Financing mechanisms for universal access,trOthFinanceMech,,2003,2022,10,,False
Operators under obligation to provide UAS,trUS_Obligation,,2003,2022,10,,False
Responsibility for supporting consumer representation,trRARespForConRep,,2003,2022,10,,False
Dispute resolutions decisions published,trDisputeDecisionsOnWebsite,,2003,2022,10,,False
Who appoints the members and the Head?,trRA_WhoAppointsMembers,,2003,2022,10,,False
Means of financing operator’s UAS obligations,trUS_Financing,,2003,2022,10,,False
Wireless Local Loop,trLocalLoop_Competion,,2003,2022,9,,False
DSL,trXDSL_Competion,,2003,2022,9,,False
Information on spectrum publicly available,trSpectrumInfoPublic,,2004,2022,9,,False
VSAT,trVSAT_Competion,,2003,2022,9,,False
Households with telephone (fixed or mobile),xHH3,%,2000,2023,9,97.9172625364331,False
Responsibility for ensuring consumer participation in the work of regulator,trRARespForConParticip,,2003,2022,9,,False
International fixed long distance,trIntLong_Competion,,2003,2022,9,,False
Internet services,trISP_Competion,,2003,2022,9,,False
Mobile,trMobileDigit_Competion,,2003,2022,9,,False
Data-only mobile broadband basket 5 GB,i271mb_5GB$,% GNI per capita,2023,2025,9,6.34,True
Countries having defined UAS,trDefinition,,2003,2022,9,,False
Domestic fixed long distance,trDomLong_Competion,,2003,2022,9,,False
Local fixed line services,trLocalServices_Competion,,2003,2022,9,,False
"Reading or downloading newspapers, magazines or books",HHU4212adn_HHTotalIndividual,%,2013,2024,8,12.238046175841554,True
Seeking health information,HHU4212ash_HHTotalIndividual,%,2013,2024,8,6.763437374268259,True
By fixed narrowband network,HHA4213d_HHTotalHousehold,%,2013,2024,8,7.00893243719409,True
Making calls using VoIP or messaging app,HHU4212acv_HHTotalIndividual_pop,%,2013,2024,8,80.65389691934828,True
Countries with an operational Universal Service Fund (USF),trUSF_IsOperational,,2005,2022,8,,False
Service activation time for fixed-broadband service,i147t,days,2013,2021,8,0.5,False
Information on licensing process,trInfoLicensingProcessPubliclyAvailable,,2018,2022,8,,False
International Gateways,trIntGate_Competion,,2004,2022,8,,False
Fixed satellite services (FSS),trFixedSat_Competion,,2003,2022,8,,False
Getting information about goods or services,HHU4212agg_HHTotalIndividual,%,2013,2024,8,12.267676412736714,True
ICT regulator have a cybersecurity mandate,trCybersecurity_RegulatorResponsible,,2012,2022,7,,False
Types of operating licenses/authorizations provided,trTypeOfLicence,,2012,2022,7,,False
Universal Access/Service (UAS) policy,trUSAdopted,,2012,2022,7,,False
What is the normal period of appointment for the members and the Head of the Regulatory Authority?,trNormalPeriodOfAppointment,,2012,2022,7,,False
Advanced retail services,tpCost_Methodolgy_Adv_R,,2012,2022,7,,False
Concept of dominance/SMP,trConceptDominance_IsDefined,,2012,2022,7,,False
Services subject to QoS monitoring,trQOS_MonitoringRequired_Yes_Services,,2012,2022,7,,False
Quality of service monitoring required,trQOS_MonitoringRequired,,2012,2022,7,,False
Regulatory framework for e-Applications,trPolicyToEApplications,,2012,2022,7,,False
Status of the main fixed-line operator/incumbent 100% state-owned,trStateOperator_IncumbentIsState_owned,,2012,2022,7,,False
Mobile-cellular numbers ported ,i271pt,count,2018,2024,7,50036.0,True
Legal limit of the number of licences,trLegalLimitOfLicences,,2012,2022,7,,False
Is the term of Head/Commissioners renewable?,trNormalPeriodOfAppointmentRenewable,,2012,2022,7,,False
Cybersecurity legislation/regulation exist,trCybersecurity_Legislation,,2012,2022,7,,False
Criteria used in determining SMP,trConceptDominance_CriteriaUsed,,2012,2022,7,,False
Definition of competition,trRelationWCompAuthDefined,,2012,2022,7,,False
Dispute resolution mechanisms,trDispMech,,2005,2022,7,,False
Ex ante obligations imposed on SMP operators,trConceptDominance_ObligationsExAnte,,2012,2022,7,,False
Existing regulations,trRegulationOnTraffic,,2012,2022,7,,False
Voice services part of UAS definition,trUS_VoiceServices,,2003,2022,7,,False
Uploading self/user-created content to a website to be shared,HHU4212auc_HHTotalIndividual,%,2021,2024,6,5.142179261380477,True
Traditional retail services,tpCost_Modelling_Approch_Trad_R,,2012,2022,6,,False
Data services part of UAS definition,trUS_DataServices,,2003,2022,6,,False
Purchasing or ordering goods or services,HHU4212ap_HHTotalIndividual,%,2013,2024,6,0.9089573346134118,True
Participating in social networks,HHU4212asn_HHTotalIndividual_pop,%,2021,2024,6,57.59110844839016,True
Privacy or security concerns,HHA4213bp_HHTotalHousehold,%,2021,2024,6,4.388052108907951,True
Other reason,HHA4213bo_HHTotalHousehold,%,2021,2024,6,0.8708644173443276,True
By mobile broadband network via a card or USB modem,HHA4213mbu_HHTotalHousehold,%,2021,2024,6,3.242439147233101,True
Regionally harmonized frequency allocation,trIfTablePartOfRHFA,,2013,2022,6,,False
Taking part in online consultations or voting to define civic or political issues,HHU4212apv_HHTotalIndividual_pop,%,2021,2024,6,1.1497194743900978,True
Tablet,HHU422t_HHTotalIndividual,%,2021,2024,6,4.10619804506313,True
Broader regulatory incentives for telecom/ICT operators,trRegulatoryIncentives,,2020,2022,6,,False
Restriction to foreign participation or ownership in the ICT sector,trPS_MaxForeignNone,,2012,2022,6,,False
Cable modem,trCableData_Competion,,2012,2022,6,,False
Cable Television,trCableTV_Competion,,2012,2022,6,,False
By fixed (wired) broadband,HHA4213fb_HHTotalHousehold,%,2021,2024,6,25.73989423435286,True
Mobile satellite services (MSS),trMobileSat_Competion,,2012,2022,6,,False
National Table of Frequency Allocations,trNTableFrequencyAlloc,,2013,2022,6,,False
By mobile broadband network via a handset,HHA4213mbh_HHTotalHousehold,%,2021,2024,6,33.53050398083763,True
Desktop computer,HHU422d_HHTotalIndividual,%,2021,2024,6,2.6720287273595424,True
Cultural reasons,HHA4213br_HHTotalHousehold,%,2021,2024,6,3.645655793660869,True
Laptop computer,HHU422l_HHTotalIndividual,%,2021,2024,6,3.4358127396940694,True
Leased Lines,trLeasedLines_Competion,,2012,2022,6,,False
Fixed Wireless Broadband,trFixWirelessBBand_Competion,,2012,2022,6,,False
Doing an online course,HHU4212aoc_HHTotalIndividual,%,2021,2024,6,1.3361216559478633,True
Internet service is not available in the area,HHA4213ba_HHTotalHousehold,%,2021,2024,6,2.331513844940796,True
Internet banking,HHU4212ab_HHTotalIndividual,%,2013,2024,6,12.063498853841566,True
Frequency Table public,trFrequencyTablePublic,,2013,2022,6,,False
"Using software run over the Internet for editing text documents, spreadsheets or presentations",HHU4212ase_HHTotalIndividual,%,2021,2024,6,1.2313669459403076,True
"Amount of spectrum licensed for IMT systems, in MHz",i271_spec_li,MHz,2019,2024,6,503.0,True
"Amount of spectrum offered for IMT systems, in MHz",i271_spec_a,MHz,2019,2024,6,1501.0,True
Households with a TV,HHA965_HHTotalHousehold,%,2013,2024,5,59.64751645524078,True
BSS (Satellite TV),trSatelliteTV,,2013,2022,5,,False
Individuals who own a mobile cellular telephone,xHH18_IDI,%,2020,2024,5,64.35816027,True
Average Download Throughput for Fixed Broadband,i147dl,bits,2020,2024,5,49074089.0,True
Average Download Throughput for Mobile Broadband,i146mwdl,bits,2020,2024,5,10433266.0,True
Average upload Throughput for Fixed Broadband,i147ul,bits,2020,2024,5,40386195.0,True
Average Upload Throughput for Mobile Broadband,i146mwul,bits,2020,2024,5,1396881.0,True
Minimum capital requirement to obtain a licence,trMinimumCapitalRequirement,,2015,2022,5,,False
"National development strategy, digital agenda or digital stimulus strategy incl. broadband",trBP_NationalDevelopmentStrategy,,2015,2022,5,,False
Mobile services,tpOperatorsChargeVoiceServicesRetail_Mobile,,2012,2022,5,,False
Mobile Broadband,trMobileBroadband,,2015,2022,5,,False
Do not need the Internet,HHA4213bn_HHTotalHousehold,%,2021,2024,5,67.3728506488243,True
Review of competition frameworks,trRA_LawToAssessMarkets,,2015,2022,5,,False
Existing Over-the-top (OTT) regulations,trRegulationOTTs,,2015,2022,5,,False
Fault Resolution Period for Fixed Broadband Service,i147f,hours,2020,2024,5,1.44,True
Fixed services,tpOperatorsChargeVoiceServicesRetail_Fixed,,2012,2022,5,,False
Advanced wholesale services,tpCost_Methodolgy_Adv_W,,2012,2022,5,,False
Provisions for foreign suppliers/licensees,trRequirementsForeignLicensees,,2015,2022,5,,False
Timeframe for resolving disputes,trDR_ResolveDisputesWithinTimeframe,,2015,2022,5,,False
Packet Latency for Fixed Broadband,i147l,milliseconds,2020,2024,5,4.0,True
Legal act that addresses foreign participation and ownership in ICTs,trLawRegulationAffectingForeignOwenship,,2015,2022,5,,False
Other services part of UAS definition,trUS_OtherServices,,2004,2022,5,,False
Individuals using a mobile cellular telephone,HHU271_HHTotalIndividual,%,2013,2024,4,88.21933372092884,True
At another persons home,HHU4212ah_HHTotalIndividual,%,2013,2024,4,22.657731083943773,True
"While commuting, in transport or walking",HHU4212mob_HHTotalIndividual,%,2013,2024,4,0.117432219665832,True
Spectrum agency,trIsSeparateSpectrumAgency,,2018,2022,4,,False
"Streaming, playing or downloading games, images, movies, videos or music",HHU4212amg_HHTotalIndividual,%,2013,2024,4,64.79998305749217,True
Getting information from general government organizations,HHU4212agv_HHTotalIndividual,%,2013,2024,4,6.491135389448742,True
Steps used to optimize costs of international connectivity,tpInterInternetConn_StepsOptimize,,2012,2022,4,,False
